Date,Close/Last,Volume,Open,High,Low
05/17/2021,$141.655,21648884,$141.57,$141.6925,$138.535
05/14/2021,$142.43,25861500,$138.9,$143.281,$137.485
05/13/2021,$136.6525,28572748,$140.3375,$140.8075,$134.59
05/12/2021,$137.585,30340932,$140.095,$142.6025,$137.0925
05/11/2021,$143.0625,28558536,$138.25,$143.5475,$137.5
05/10/2021,$142.6575,26890380,$147.8725,$148.06,$142.5
05/07/2021,$148.1225,22932732,$148.0825,$149.7075,$146.7171
05/06/2021,$145.23,19338092,$144.9525,$145.7125,$142.1809
05/05/2021,$144.585,29202304,$147.09,$148.135,$143.875
05/04/2021,$143.5125,40532480,$146.3725,$146.375,$140.1025
05/03/2021,$148.3675,20391184,$151.25,$152.4675,$147.875
04/30/2021,$150.095,20191008,$151.745,$153.65,$149.97
04/29/2021,$153.2475,17319648,$154,$154.365,$150.715
04/28/2021,$152.7675,20941620,$153.645,$155.3225,$152.1552
04/27/2021,$153.8175,16457300,$155.785,$156.705,$153.545
04/26/2021,$154.78,19779708,$151.8505,$154.79,$151.25
04/23/2021,$152.6525,22777220,$149.3438,$153.3488,$149.0025
04/22/2021,$148.5025,27778628,$153.75,$154.3857,$147.835
04/21/2021,$153.605,21677704,$151.1875,$153.625,$151.0225
04/20/2021,$151.7125,33413304,$153.2325,$154.97,$149.63
04/19/2021,$153.6175,40441800,$155.3654,$158.075,$152.33
04/16/2021,$159.125,33520756,$160.531,$161.6575,$158.6525
04/15/2021,$161.3725,59848080,$156.625,$162.1415,$156.315
04/14/2021,$152.77,38550192,$156.25,$157.2046,$152.275
04/13/2021,$156.795,67621200,$152.315,$157,$151.2575
04/12/2021,$152.09,86932200,$142.8975,$153.525,$141.3925
04/09/2021,$144,19517088,$142.14,$144.08,$141.75
04/08/2021,$143.17,24441492,$142.5275,$144.715,$142.4894
04/07/2021,$141.435,25128436,$138.8075,$142.435,$137.115
04/06/2021,$138.615,19174596,$139.9968,$140.5412,$137.7362
04/05/2021,$139.875,25567140,$138.675,$140.1396,$137.33
04/01/2021,$138.1175,30827460,$135.7225,$138.7,$135.1125
03/31/2021,$133.4825,31477752,$130.155,$134.705,$129.825
03/30/2021,$128.7175,20020248,$128.4195,$129.7525,$127.05
03/29/2021,$129.4825,27351988,$128.2025,$130.625,$127
03/26/2021,$128.3925,36396896,$125.545,$128.5625,$123.735
03/25/2021,$125.3525,29514456,$124.995,$127.1475,$122.72
03/24/2021,$126.43,24583852,$131.5125,$131.5913,$126.3675
03/23/2021,$130.7075,22204608,$132.5425,$133.445,$130.2125
03/22/2021,$131.8625,29780308,$129.1275,$133.945,$129.0675
03/19/2021,$128.4575,29920696,$127.5,$129.215,$126.125
03/18/2021,$127.225,29418808,$131.365,$131.84,$127.1704
03/17/2021,$133.4125,24386420,$130.3975,$134.5325,$129.895
03/16/2021,$132.9125,27212960,$133.565,$135.125,$131.1675
03/15/2021,$131.9125,22252044,$128.6475,$132.0675,$127.6713
03/12/2021,$128.56,24396396,$126.4825,$128.8875,$125.9
03/11/2021,$129.935,29991428,$129.5,$130.4625,$127.345
03/10/2021,$124.6825,38437656,$128.405,$129.8,$124.575
03/09/2021,$125.2025,52182560,$121.3025,$126.1675,$120.5925
